Processo,Classe,Assunto,Comarca,Ano,Especializada
0083365-34.2024.8.04.1000,Reclamação Pré-processual,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0442580-52.2024.8.04.0001,Procedimento Comum,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0086517-90.2024.8.04.1000,Reclamação Pré-processual,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0086408-76.2024.8.04.1000,Reclamação Pré-processual,4a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076570-12.2024.8.04.1000,Procedimento Comum,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0076644-66.2024.8.04.1000,Procedimento Comum,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076648-06.2024.8.04.1000,Procedimento Comum,4a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076696-62.2024.8.04.1000,Procedimento Comum,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076706-09.2024.8.04.1000,Procedimento Comum,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076708-76.2024.8.04.1000,Procedimento Comum,4a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076719-08.2024.8.04.1000,Procedimento Comum,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076723-45.2024.8.04.1000,Procedimento Comum,4a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
0076735-59.2024.8.04.1000,Procedimento Comum,3a Parcela Escalonamento,Comarca de Manaus,2024.0,CPRAC - PPC
